Country_Name,Year,Gini_Index_(Official),Palma_Ratio,20/20_Income_Gap_Ratio,Income_Share:_Bottom_40%,Income_Share:_Poorest_20%,Income_Share:_Second_Quintile,Income_Share:_Middle_Quintile,Income_Share:_Fourth_Quintile,Income_Share:_Richest_20%,Income_Classification,World_Bank_Region,Total_Population,Inequality_Index_(UNDP),Gini_Index_(World Bank),Local_Currency,World_Bank_Lending_Group,Last_Census_Year,Inequality_Category
San Marino,2014,30.1,2.05,9.12,15.9,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,32941,22.43,37.53,U.S. dollar,IBRD,2007,Medium Inequality
San Marino,2015,29.4,2.05,9.12,15.9,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,33270,22.43,37.53,U.S. dollar,IBRD,2007,Medium Inequality
San Marino,2016,29.3,2.05,9.12,15.9,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,33503,22.43,37.53,U.S. dollar,IBRD,2007,Medium Inequality
San Marino,2017,27.7,2.05,9.12,15.9,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,33671,22.43,37.53,U.S. dollar,IBRD,2007,Medium Inequality
Soviet Union,1968,26.2,2.05,9.12,21.12,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,237165000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Soviet Union,1972,26.5,2.05,9.12,21.12,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,246259000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Soviet Union,1976,26,2.05,9.12,21.12,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,255524000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Soviet Union,1981,25.8,2.05,9.12,24,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,266599000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Soviet Union,1984,24.9,2.05,9.12,24,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,273800000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Soviet Union,1986,27.6,2.05,9.12,23.7,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,278784000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Soviet Union,1990,28.1,2.05,9.12,22.6,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,287728000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Soviet Union,1993,30.5,2.05,9.12,22.6,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,287728000,28.08,37.53,São Tomé and Principe dobra,IDA,2012,Medium Inequality
Suriname,1969,25.22,2.05,9.12,22.3,6.53,11.16,15.48,21.77,45.11,Upper middle income,Latin America and the Caribbean,366848,28.08,37.53,Suriname dollar,IBRD,2012,Medium Inequality
Suriname,2000,46.5,2.05,9.12,7.32,6.53,11.16,15.48,21.77,45.11,Upper middle income,Latin America and the Caribbean,472390,28.08,37.53,Suriname dollar,IBRD,2012,Medium Inequality
Suriname,2004,55,2.05,9.12,7.32,6.53,11.16,15.48,21.77,45.11,Upper middle income,Latin America and the Caribbean,493630,28.08,37.53,Suriname dollar,IBRD,2012,Medium Inequality
Suriname,2008,45,2.05,9.12,7.32,6.53,11.16,15.48,21.77,45.11,Upper middle income,Latin America and the Caribbean,515148,28.08,37.53,Suriname dollar,IBRD,2012,Medium Inequality
Suriname,2017,38.1,2.05,9.12,7.32,6.53,11.16,15.48,21.77,45.11,Upper middle income,Latin America and the Caribbean,570501,28.08,37.53,Suriname dollar,IBRD,2012,Medium Inequality
Slovenia,1991,26.5,2.05,9.12,25.1,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,2007884,11.33,37.53,Euro,IBRD,2018,Low Inequality
Slovenia,1992,25.9,2.05,9.12,25.1,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,2005512,11.33,37.53,Euro,IBRD,2018,Low Inequality
Slovenia,2000,22,2.05,9.12,24.9,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,1987710,11.33,37.53,Euro,IBRD,2018,Low Inequality
Slovenia,2001,22,2.05,9.12,24.9,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,1987457,11.33,37.53,Euro,IBRD,2018,Low Inequality
Eswatini,1974,63.7,2.05,9.12,22.8,6.53,11.16,15.48,21.77,45.11,Lower middle income,Sub-Saharan Africa,501512,12.58,37.53,Swazi lilangeni,IBRD,2017,Low Inequality
Turks and Caicos Islands,1999,37,2.05,9.12,21.7,6.53,11.16,15.48,21.77,45.11,High income,Latin America and the Caribbean,19069,29.35,37.53,Syrian pound,IDA,2004,Medium Inequality
Turkmenistan,1981,26.2,2.05,9.12,19.48,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,2947779,12.18,37.53,New Turkmen manat,IBRD,2012,Low Inequality
Turkmenistan,1986,25.2,2.05,9.12,19.48,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,3324456,12.18,37.53,New Turkmen manat,IBRD,2012,Low Inequality
Turkmenistan,1988,31.6,2.05,9.12,19.48,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,3493894,12.18,37.53,New Turkmen manat,IBRD,2012,Low Inequality
Turkmenistan,1989,27.9,2.05,9.12,19.48,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,3585867,12.18,37.53,New Turkmen manat,IBRD,2012,Low Inequality
Turkmenistan,1990,30.8,2.05,9.12,19.48,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,3683966,12.18,37.53,New Turkmen manat,IBRD,2012,Low Inequality
Turkmenistan,1997,24.9,2.05,9.12,18.14,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,4355114,12.18,37.53,New Turkmen manat,IBRD,2012,Low Inequality
